,,,SSR,SRR,cost,shift,scale
fadg0,4096,1.0,2.502073559371455,13.483546708803596,3.2011061270642696,"[[0.0, 0.0], [0.0, 0.0]]","[[4.1399077804834273e-17, 4.139907780483427e-17], [0.6760982486323063, 0.6760982486323062]]"
fadg0,8000,-1.0,2.322606875058729,80.0,7.843061379937673e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7071067811865471, 0.707106781186547], [0.0, 0.0]]"
fadg0,8000,-0.8,4.179752804999577,80.0,4.3093808307141326e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6984011233337102, 0.69840112333371], [0.1106158710412371, 0.11061587104123707]]"
fadg0,8000,-0.6,6.6156950184317065,80.0,3.267936676230585e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6724985119639573, 0.672498511963957], [0.21850801222441046, 0.2185080122244104]]"
fadg0,8000,-0.3999999999999999,10.092751259580604,80.0,6.0476426463590426e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6300367553350503, 0.6300367553350501], [0.321019760960103, 0.32101976096010293]]"
fadg0,8000,-0.19999999999999996,16.0865341185916,80.0,5.621154188134795e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5720614028176844, 0.5720614028176843], [0.4156269377774533, 0.4156269377774532]]"
fadg0,8000,0.0,80.0,80.0,3.842210103429203e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5, 0.4999999999999999], [0.4999999999999999, 0.4999999999999998]]"
fadg0,8000,0.20000000000000018,16.086534118591594,80.0,5.621154188134795e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.4156269377774533, 0.4156269377774532], [0.5720614028176844, 0.5720614028176843]]"
fadg0,8000,0.40000000000000013,10.092751259580595,80.0,3.5420585295169297e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.3210197609601029, 0.3210197609601028], [0.6300367553350503, 0.6300367553350502]]"
fadg0,8000,0.6000000000000001,6.615695018431705,80.0,3.688108572226139e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.21850801222441046, 0.21850801222441044], [0.6724985119639573, 0.672498511963957]]"
fadg0,8000,0.8,4.179752804999575,80.0,4.370651254796602e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.11061587104123713, 0.11061587104123712], [0.6984011233337102, 0.69840112333371]]"
fadg0,8000,1.0,2.3226068750587276,80.0,7.843061379937673e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[4.3297802811774664e-17, 4.329780281177465e-17], [0.7071067811865471, 0.707106781186547]]"
